,Unnamed: 0.1,Unnamed: 0,Image_Name,X1,Y1
0,0,0,017_01_left.png,0.6992682926829272,0.3881481481481477
1,1,1,017_01_right.png,0.5552272727272729,0.3448148148148149
3,3,3,017_02_right.png,0.59375,0.3232142857142861
4,4,4,017_03_left.png,0.6935714285714285,0.4320689655172414
5,5,5,017_03_right.png,0.5534999999999997,0.3542857142857138
6,6,6,017_04_left.png,0.6375609756097558,0.4067857142857138
7,7,7,017_04_right.png,0.5199999999999994,0.3542857142857138
8,8,8,017_05_left.png,0.6099999999999998,0.4178571428571424
9,9,9,017_05_right.png,0.4942499999999995,0.3496296296296295
11,11,11,017_06_right.png,0.4745000000000005,0.360357142857143
13,13,13,017_07_right.png,0.5351219512195121,0.351071428571429
15,15,15,017_08_right.png,0.5612499999999997,0.3779310344827589
16,16,16,017_09_left.png,0.7326829268292688,0.4442857142857142
17,17,17,017_09_right.png,0.6167500000000004,0.3572413793103453
18,18,18,017_10_left.png,0.6851219512195116,0.4364285714285714
20,20,20,017_11_left.png,0.6787804878048777,0.4379310344827582
21,21,21,017_11_right.png,0.5466666666666665,0.3841379310344823
22,22,22,017_12_left.png,0.6417073170731707,0.4364285714285714
23,23,23,017_12_right.png,0.520243902439024,0.3928571428571428
25,25,25,078_01_right.png,0.5246511627906977,0.4246428571428566
26,26,26,078_02_left.png,0.7114545454545453,0.4937142857142849
28,28,28,078_03_left.png,0.6490740740740742,0.4651428571428563
29,29,29,078_03_right.png,0.5118181818181814,0.4162962962962966
31,31,31,078_04_right.png,0.4877777777777775,0.3829166666666665
32,32,32,078_05_left.png,0.5766666666666664,0.4772727272727273
34,34,34,078_06_left.png,0.5524528301886787,0.5179411764705887
35,35,35,078_06_right.png,0.4,0.398461538461539
36,36,36,078_07_left.png,0.6235849056603776,0.4861764705882345
38,38,38,078_08_left.png,0.6498148148148144,0.4982857142857142
39,39,39,078_08_right.png,0.5302272727272723,0.3615384615384606
40,40,40,078_09_left.png,0.6923636363636361,0.4782857142857145
41,41,41,078_09_right.png,0.5677272727272732,0.3559259259259264
42,42,42,078_10_left.png,0.7576785714285715,0.5386111111111107
43,43,43,078_10_right.png,0.5900000000000003,0.4166666666666667
44,44,44,078_11_left.png,0.683703703703704,0.5361111111111114
45,45,45,078_11_right.png,0.5088888888888884,0.4
46,46,46,078_12_left.png,0.6783636363636364,0.5577777777777774
47,47,47,078_12_right.png,0.4904347826086957,0.3911999999999989
51,51,51,038_02_right.png,0.6153488372093019,0.3629999999999995
53,53,53,038_03_right.png,0.5361363636363631,0.3629999999999995
54,54,54,038_04_left.png,0.6578571428571427,0.3657575757575755
55,55,55,038_04_right.png,0.4960465116279066,0.3426666666666657
56,56,56,038_05_left.png,0.5907142857142857,0.3817647058823534
58,58,58,038_06_left.png,0.5709523809523814,0.3878125000000008
59,59,59,038_06_right.png,0.4346511627906976,0.3703333333333338
60,60,60,038_07_left.png,0.6383333333333334,0.3918750000000006
